"Hyperparameters: —episodes 1e5 —seed 25 —learn_rate 0.01— e_init 1 —e_final 0 —discount 0.95
slippery = False",,
episode_num,total_reward,episode_length
1,0.0,8
2,1.0,26
3,0.0,3
4,0.0,5
5,0.0,4
6,0.0,5
7,0.0,9
8,0.0,4
9,0.0,2
10,0.0,12
11,0.0,6
12,0.0,3
13,0.0,7
14,0.0,13
15,0.0,11
16,0.0,7
17,0.0,12
18,0.0,4
19,0.0,7
20,0.0,4
21,0.0,7
22,1.0,22
23,0.0,13
24,0.0,2
25,0.0,2
26,0.0,7
27,0.0,5
28,0.0,7
29,0.0,5
30,0.0,13
31,0.0,8
32,0.0,2
33,0.0,6
34,0.0,4
35,0.0,4
36,0.0,9
37,0.0,3
38,0.0,5
39,0.0,13
40,0.0,3
41,0.0,4
42,0.0,15
43,0.0,3
44,0.0,9
45,0.0,6
46,0.0,6
47,0.0,5
48,0.0,4
49,0.0,5
50,0.0,4
51,0.0,3
52,0.0,10
53,0.0,6
54,0.0,24
55,0.0,2
56,0.0,7
57,0.0,6
58,0.0,12
59,0.0,5
60,0.0,4
61,0.0,5
62,0.0,17
63,0.0,4
64,0.0,9
65,0.0,6
66,0.0,31
67,0.0,8
68,0.0,2
69,0.0,10
70,0.0,4
71,0.0,17
72,0.0,13
73,0.0,2
74,0.0,4
75,1.0,15
76,0.0,11
77,0.0,4
78,0.0,5
79,0.0,14
80,0.0,5
81,0.0,2
82,0.0,9
83,0.0,2
84,0.0,4
85,0.0,17
86,0.0,3
87,0.0,4
88,0.0,4
89,0.0,2
90,0.0,7
91,0.0,6
92,0.0,18
93,0.0,3
94,0.0,20
95,0.0,4
96,0.0,2
97,0.0,5
98,0.0,12
99,0.0,6
100,0.0,4
101,0.0,11
102,0.0,2
103,0.0,9
104,0.0,16
105,0.0,3
106,0.0,2
107,0.0,9
108,0.0,4
109,0.0,4
110,0.0,8
111,1.0,15
112,0.0,2
113,0.0,6
114,0.0,6
115,0.0,4
116,0.0,18
117,0.0,5
118,0.0,10
119,0.0,2
120,0.0,5
121,0.0,4
122,0.0,7
123,0.0,14
124,0.0,25
125,0.0,8
126,0.0,4
127,0.0,4
128,0.0,5
129,0.0,7
130,0.0,3
131,0.0,9
132,0.0,9
133,0.0,4
134,0.0,5
135,0.0,2
136,0.0,6
137,0.0,10
138,0.0,8
139,0.0,11
140,0.0,3
141,0.0,12
142,0.0,14
143,0.0,5
144,0.0,3
145,0.0,9
146,0.0,15
147,0.0,2
148,0.0,3
149,0.0,6
150,0.0,3
151,0.0,6
152,0.0,14
153,0.0,9
154,0.0,4
155,0.0,7
156,0.0,6
157,0.0,13
158,1.0,15
159,0.0,13
160,0.0,7
161,0.0,6
162,0.0,9
163,0.0,7
164,0.0,9
165,0.0,12
166,0.0,10
167,0.0,7
168,0.0,11
169,0.0,13
170,0.0,9
171,0.0,10
172,0.0,2
173,0.0,5
174,0.0,10
175,0.0,5
176,0.0,6
177,0.0,2
178,0.0,2
179,0.0,7
180,0.0,17
181,0.0,11
182,0.0,5
183,0.0,18
184,0.0,14
185,0.0,11
186,0.0,17
187,0.0,14
188,0.0,2
189,0.0,5
190,0.0,18
191,0.0,7
192,0.0,3
193,0.0,2
194,0.0,7
195,0.0,7
196,0.0,14
197,0.0,5
198,0.0,8
199,0.0,4
200,0.0,28
201,0.0,5
202,0.0,4
203,0.0,7
204,0.0,10
205,0.0,7
206,0.0,2
207,0.0,5
208,0.0,4
209,0.0,9
210,0.0,3
211,0.0,2
212,0.0,4
213,0.0,7
214,0.0,6
215,0.0,5
216,0.0,9
217,0.0,6
218,0.0,6
219,0.0,11
220,0.0,9
221,0.0,3
222,0.0,2
223,0.0,9
224,0.0,2
225,0.0,6
226,0.0,2
227,0.0,3
228,0.0,6
229,0.0,10
230,0.0,7
231,0.0,4
232,0.0,8
233,0.0,7
234,0.0,7
235,0.0,2
236,0.0,7
237,0.0,2
238,0.0,20
