episode_num,total_reward,episode_length
1,0.0,3
2,0.0,7
3,0.0,5
4,0.0,10
5,0.0,2
6,0.0,5
7,0.0,5
8,0.0,3
9,0.0,9
10,1.0,10
11,0.0,16
12,0.0,2
13,0.0,3
14,0.0,4
15,0.0,2
16,0.0,2
17,0.0,5
18,0.0,3
19,0.0,16
20,0.0,8
21,0.0,3
22,0.0,5
23,0.0,8
24,0.0,13
25,0.0,7
26,0.0,2
27,0.0,5
28,0.0,7
29,0.0,9
30,0.0,9
31,0.0,3
32,0.0,4
33,0.0,4
34,0.0,7
35,0.0,3
36,1.0,13
37,0.0,5
38,0.0,8
39,0.0,2
40,0.0,22
41,0.0,25
42,0.0,17
43,0.0,18
44,0.0,3
45,0.0,7
46,0.0,3
47,0.0,9
48,0.0,7
49,0.0,4
50,0.0,3
51,0.0,3
52,0.0,6
53,0.0,10
54,0.0,5
55,0.0,2
56,0.0,18
57,0.0,4
58,0.0,27
59,0.0,4
60,0.0,9
61,0.0,2
62,0.0,3
63,0.0,12
64,0.0,6
65,0.0,3
66,0.0,5
67,0.0,19
68,0.0,3
69,0.0,3
70,0.0,4
71,0.0,3
72,0.0,6
73,0.0,11
74,0.0,4
75,0.0,3
76,0.0,26
77,0.0,8
78,0.0,4
79,0.0,10
80,0.0,27
81,0.0,3
82,0.0,2
83,0.0,14
84,0.0,4
85,0.0,13
86,0.0,7
87,0.0,2
88,0.0,16
89,0.0,3
90,0.0,4
91,0.0,3
92,0.0,8
93,0.0,2
94,0.0,6
95,0.0,9
96,0.0,5
97,0.0,14
98,0.0,9
99,0.0,2
100,0.0,7
101,0.0,8
102,0.0,14
103,0.0,4
104,0.0,6
105,0.0,13
106,0.0,7
107,0.0,10
108,0.0,24
109,0.0,12
110,0.0,4
111,0.0,4
112,0.0,2
113,0.0,5
114,0.0,14
115,0.0,14
116,0.0,8
117,0.0,2
118,0.0,7
119,0.0,7
120,0.0,2
121,0.0,2
122,0.0,12
123,0.0,9
124,0.0,2
125,0.0,12
126,0.0,5
127,0.0,3
128,0.0,3
129,0.0,9
130,0.0,9
131,0.0,2
132,0.0,5
133,0.0,2
134,0.0,13
135,0.0,6
136,0.0,3
137,0.0,13
138,0.0,4
139,0.0,10
140,0.0,13
141,0.0,35
142,0.0,22
143,0.0,8
144,0.0,18
145,0.0,10
146,0.0,5
147,0.0,15
148,0.0,18
149,0.0,4
150,0.0,6
151,0.0,3
152,0.0,3
153,0.0,4
154,0.0,29
155,0.0,3
156,0.0,5
157,0.0,10
158,0.0,13
159,0.0,21
160,0.0,3
161,0.0,4
162,0.0,5
163,0.0,9
164,0.0,4
165,0.0,11
166,0.0,3
167,0.0,3
168,0.0,3
169,0.0,6
170,0.0,10
171,0.0,8
172,0.0,3
173,0.0,3
174,0.0,6
175,0.0,4
176,0.0,7
177,0.0,10
178,0.0,15
179,0.0,4
180,0.0,2
181,0.0,12
182,0.0,5
183,0.0,4
184,0.0,7
185,0.0,2
186,0.0,14
187,0.0,17
188,0.0,16
189,0.0,14
190,0.0,4
191,0.0,20
192,0.0,2
193,0.0,4
194,0.0,9
195,0.0,5
196,0.0,6
197,0.0,11
198,0.0,6
199,0.0,8
200,0.0,3
201,0.0,6
202,0.0,2
203,0.0,7
204,0.0,10
205,0.0,8
206,0.0,8
207,0.0,4
208,0.0,4
209,0.0,9
210,0.0,5
211,0.0,10
212,0.0,8
213,0.0,13
214,0.0,3
215,0.0,16
216,0.0,4
217,0.0,5
218,0.0,8
219,0.0,23
220,0.0,3
221,0.0,8
222,0.0,3
223,0.0,12
224,0.0,2
225,0.0,11
226,0.0,4
227,0.0,3
228,0.0,7
229,0.0,2
230,0.0,2
231,0.0,6
232,0.0,3
233,0.0,16
234,0.0,2
235,0.0,4
236,0.0,2
237,0.0,12
238,1.0,10
239,0.0,9
240,0.0,7
241,0.0,3
242,0.0,4
243,0.0,11
244,0.0,7
245,0.0,2
246,0.0,4
247,0.0,7
248,0.0,6
249,0.0,7
250,0.0,2
251,0.0,19
252,0.0,5
253,0.0,7
254,0.0,6
255,0.0,5
256,0.0,15
257,0.0,5
258,0.0,7
259,0.0,3
260,0.0,2
261,0.0,24
262,0.0,6
263,0.0,9
264,0.0,14
265,0.0,5
266,0.0,4
267,0.0,4
268,0.0,6
269,0.0,8
270,0.0,2
271,0.0,13
272,0.0,2
273,0.0,5
274,0.0,8
275,0.0,3
276,0.0,7
277,0.0,9
278,0.0,8
279,0.0,3
280,0.0,14
281,0.0,4
282,0.0,7
283,0.0,4
284,0.0,2
285,0.0,5
286,0.0,8
287,0.0,7
288,0.0,4
289,0.0,12
290,0.0,7
291,0.0,3
292,0.0,7
293,0.0,2
294,0.0,7
295,0.0,4
296,0.0,12
297,0.0,14
298,0.0,3
299,0.0,13
300,0.0,5
301,0.0,7
302,0.0,6
303,0.0,2
304,0.0,16
305,0.0,14
306,0.0,4
307,0.0,7
308,0.0,4
309,0.0,4
310,0.0,2
311,0.0,10
312,0.0,8
313,0.0,11
314,0.0,2
315,0.0,8
316,0.0,17
317,0.0,2
318,0.0,3
319,0.0,9
320,0.0,2
321,0.0,7
322,0.0,6
323,0.0,10
324,0.0,17
325,0.0,6
326,0.0,7
327,0.0,7
328,0.0,2
329,0.0,11
330,0.0,14
331,0.0,10
332,0.0,2
333,0.0,3
334,0.0,9
335,0.0,3
336,0.0,9
337,0.0,4
338,0.0,4
339,0.0,24
340,0.0,10
341,0.0,7
342,0.0,3
343,0.0,5
344,0.0,2
345,0.0,29
346,0.0,7
347,0.0,15
348,0.0,4
349,0.0,19
350,0.0,5
351,0.0,7
352,0.0,7
353,0.0,6
354,0.0,5
355,0.0,4
356,0.0,5
357,0.0,15
358,0.0,2
359,0.0,6
360,0.0,9
361,0.0,17
362,0.0,3
363,0.0,18
364,0.0,18
365,0.0,7
366,0.0,2
367,0.0,3
368,0.0,6
369,0.0,5
370,0.0,8
371,0.0,2
372,0.0,3
373,0.0,8
374,0.0,10
375,0.0,7
376,0.0,14
377,0.0,5
378,0.0,22
379,0.0,5
380,0.0,17
381,0.0,12
382,0.0,5
383,0.0,13
384,1.0,10
385,0.0,5
386,0.0,6
387,0.0,2
388,0.0,6
389,0.0,17
390,0.0,2
391,0.0,4
392,0.0,4
393,0.0,5
394,0.0,3
395,0.0,28
396,0.0,21
397,0.0,2
398,0.0,9
399,0.0,9
400,0.0,2
401,0.0,3
402,0.0,22
403,0.0,2
404,0.0,17
405,0.0,18
406,0.0,12
407,0.0,2
408,0.0,6
409,0.0,2
410,0.0,9
411,0.0,4
412,0.0,9
413,0.0,8
414,0.0,4
415,0.0,21
416,0.0,18
417,0.0,5
418,0.0,11
419,0.0,2
420,0.0,8
421,0.0,3
422,0.0,4
423,0.0,9
424,0.0,12
425,0.0,2
426,0.0,7
427,0.0,14
428,0.0,13
429,0.0,6
430,0.0,4
431,0.0,3
432,0.0,2
433,1.0,19
434,0.0,2
435,0.0,6
436,0.0,6
437,0.0,4
438,0.0,4
439,0.0,8
440,0.0,4
441,0.0,4
442,0.0,3
443,0.0,3
444,0.0,2
445,0.0,8
446,0.0,3
447,0.0,6
448,0.0,6
449,0.0,3
450,0.0,12
451,0.0,14
452,0.0,8
453,0.0,6
454,0.0,10
455,1.0,19
456,0.0,20
457,0.0,13
458,0.0,14
459,0.0,7
460,0.0,7
461,0.0,8
462,0.0,7
463,0.0,4
464,0.0,4
465,0.0,6
466,0.0,15
467,0.0,14
468,0.0,4
469,0.0,2
470,0.0,7
471,0.0,15
472,0.0,4
473,0.0,11
474,0.0,6
475,0.0,4
476,0.0,11
477,0.0,11
478,0.0,6
479,0.0,5
480,0.0,2
481,0.0,4
482,0.0,7
483,0.0,6
484,0.0,8
485,0.0,9
486,0.0,3
487,0.0,4
488,0.0,7
489,0.0,13
490,0.0,5
491,0.0,4
492,0.0,4
493,0.0,7
494,0.0,4
495,0.0,2
496,0.0,2
497,0.0,3
498,0.0,8
499,0.0,4
500,0.0,7
501,0.0,7
502,0.0,2
503,0.0,5
504,0.0,4
505,0.0,5
506,0.0,8
507,0.0,2
508,0.0,2
509,0.0,6
510,0.0,11
511,0.0,12
512,0.0,12
513,0.0,9
514,0.0,4
515,0.0,2
516,0.0,12
517,0.0,15
518,0.0,2
519,0.0,9
520,0.0,14
521,0.0,4
522,0.0,3
523,0.0,10
524,0.0,14
525,0.0,3
526,0.0,18
527,0.0,10
528,0.0,2
529,0.0,21
530,0.0,10
531,0.0,22
532,0.0,4
533,0.0,10
534,0.0,13
535,0.0,6
536,0.0,4
537,0.0,5
538,0.0,2
539,0.0,11
540,0.0,3
541,0.0,8
542,0.0,3
543,0.0,2
544,0.0,11
545,0.0,5
546,0.0,9
547,0.0,8
548,0.0,2
549,0.0,2
550,0.0,8
551,0.0,8
552,0.0,14
553,0.0,4
554,0.0,2
555,0.0,7
556,0.0,15
557,0.0,5
558,0.0,2
559,0.0,16
560,0.0,9
561,0.0,9
562,0.0,12
563,0.0,5
564,0.0,3
565,0.0,11
566,0.0,4
567,0.0,5
568,0.0,11
569,0.0,9
570,0.0,8
571,0.0,14
572,0.0,4
573,0.0,6
574,0.0,4
575,0.0,12
576,0.0,2
577,0.0,33
578,0.0,11
579,0.0,6
580,0.0,5
581,0.0,5
582,0.0,5
583,0.0,7
584,0.0,15
585,0.0,11
586,0.0,13
587,0.0,8
588,0.0,2
589,0.0,2
590,0.0,4
591,0.0,2
592,0.0,9
593,0.0,8
594,0.0,2
595,0.0,2
596,0.0,5
597,0.0,2
